album_id,album_name,album_type,release_date,total_tracks,spotify_url
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,2019-03-29,14,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh
3ywiWlRdxCDyIt4xwP4yVW,INTRO (HIT ME HARD AND SOFT TOUR),single,2026-04-24,1,https://open.spotify.com/album/3ywiWlRdxCDyIt4xwP4yVW
3ThlxfLSy4bfKzxWqmC7VN,Guess featuring billie eilish,single,2024-08-01,1,https://open.spotify.com/album/3ThlxfLSy4bfKzxWqmC7VN
2ajCD41iDxflpYBZmSO9S7,Play (Deluxe),album,2025-11-28,27,https://open.spotify.com/album/2ajCD41iDxflpYBZmSO9S7
20dY0uZi9SzfrcWYfiWGqH,Play,album,2025-09-12,13,https://open.spotify.com/album/20dY0uZi9SzfrcWYfiWGqH
64QhljQEwTfoEt9z6jsyxl,Play (Extended Edition),album,2025-09-12,18,https://open.spotify.com/album/64QhljQEwTfoEt9z6jsyxl
5ZewPP4nTMtJTn4krePB2d,+-=÷× (Tour Collection: Live),album,2024-12-27,50,https://open.spotify.com/album/5ZewPP4nTMtJTn4krePB2d
5xD1PSd5c5APDM0SdkkqnH,+-=÷× (Tour Collection),album,2024-09-27,24,https://open.spotify.com/album/5xD1PSd5c5APDM0SdkkqnH
3OxfaVgvTxUTy7276t7SPU,Hurry Up Tomorrow,album,2025-01-31,22,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU
35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),album,2023-03-14,21,https://open.spotify.com/album/35dut3ICqF3NEDkjxfzJJ1
1OARrXe5sB0gyy3MhQ8h92,Live At SoFi Stadium,album,2023-03-03,31,https://open.spotify.com/album/1OARrXe5sB0gyy3MhQ8h92
12INlMsFtBjyehNnawBv36,Dawn FM (Alternate World),album,2022-01-07,24,https://open.spotify.com/album/12INlMsFtBjyehNnawBv36
2nLOHgzXzwFEpl62zAgCEC,Dawn FM,album,2022-01-06,16,https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC
5IBigZKJt8uffeMjKw5uEl,Reflections (From The Vault Of Smoke + Mirrors),album,2025-02-21,14,https://open.spotify.com/album/5IBigZKJt8uffeMjKw5uEl
7EPrkhjTBrwAV8yAKCmY0Y,LOOM,album,2024-06-28,10,https://open.spotify.com/album/7EPrkhjTBrwAV8yAKCmY0Y
0fQaGkCbRIg5z7ta2SCrY0,Imagine Dragons Live in Vegas,album,2023-07-28,23,https://open.spotify.com/album/0fQaGkCbRIg5z7ta2SCrY0
0LLA5YL3g2UReWlP7nWqGh,Night Visions (Expanded Edition / Super Deluxe),album,2022-09-09,54,https://open.spotify.com/album/0LLA5YL3g2UReWlP7nWqGh
6yiXkzHvC0OTmhfDQOEWtS,Mercury - Acts 1 & 2,album,2022-07-01,32,https://open.spotify.com/album/6yiXkzHvC0OTmhfDQOEWtS
6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,album,2025-11-07,19,https://open.spotify.com/album/6QNMhoV8V0u7cFuhhUBOn7
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,album,2025-10-03,12,https://open.spotify.com/album/4a6NzYL1YHRUgx9e3YZI6I
4tFsJC9jQ0Qjj7HSExhAdm,The Life of a Showgirl (Track by Track Version),album,2025-10-02,26,https://open.spotify.com/album/4tFsJC9jQ0Qjj7HSExhAdm
5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,2024-04-19,31,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,album,2024-04-18,16,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt
0OAv7DCME2AV4q1KPO95HY,ICEMAN,album,2026-05-15,18,https://open.spotify.com/album/0OAv7DCME2AV4q1KPO95HY
0P6B5R3yRSkhkmequL5Yno,HABIBTI,album,2026-05-15,11,https://open.spotify.com/album/0P6B5R3yRSkhkmequL5Yno
71yBvOeRZ9os9LYFEy9eOk,MAID OF HONOUR,album,2026-05-15,14,https://open.spotify.com/album/71yBvOeRZ9os9LYFEy9eOk
6Rl6YoCarF2GHPSQmmFjuR,$ome $exy $ongs 4 U,album,2025-02-14,21,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,album,2023-11-17,29,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO
2k4FmEtXR0WiDW0Ac2QArT,petal,album,2026-07-31,12,https://open.spotify.com/album/2k4FmEtXR0WiDW0Ac2QArT
0JPItniR1C7tjd4ac2R1Vk,Dangerous Woman (Tenth Anniversary Edition),album,2026-05-20,18,https://open.spotify.com/album/0JPItniR1C7tjd4ac2R1Vk
6pamCzTowX31m57z8dC1Sk,Wicked: For Good – The Soundtrack,album,2025-11-21,11,https://open.spotify.com/album/6pamCzTowX31m57z8dC1Sk
6cbwstHlsAIIWurIIXXBPd,eternal sunshine deluxe: brighter days ahead,album,2025-03-28,19,https://open.spotify.com/album/6cbwstHlsAIIWurIIXXBPd
3JUrJP460nFIqwjxM19slT,Wicked: The Soundtrack,album,2024-11-22,12,https://open.spotify.com/album/3JUrJP460nFIqwjxM19slT
5SGtrmYbIo0Dsg4kJ4qjM6,Moon Music,album,2024-10-04,10,https://open.spotify.com/album/5SGtrmYbIo0Dsg4kJ4qjM6
1PdMoahMiMnqWfzWZs3xSI,Moon Music (Full Moon Edition),album,2024-10-03,20,https://open.spotify.com/album/1PdMoahMiMnqWfzWZs3xSI
06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,album,2021-10-15,12,https://open.spotify.com/album/06mXfvDsRZNfnsGZvX2zpb
2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,album,2019-11-22,16,https://open.spotify.com/album/2FeyIYDDAQqcOJKOKhvHdr
19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,album,2018-12-07,24,https://open.spotify.com/album/19CvkGjYpifkdwgVJSbog2
7vI4iTxDmgEN63liQHPEX1,The Romantic,album,2026-02-27,9,https://open.spotify.com/album/7vI4iTxDmgEN63liQHPEX1
4VZ7jhV0wHpoNPCB7Vmiml,An Evening With Silk Sonic,album,2021-11-12,10,https://open.spotify.com/album/4VZ7jhV0wHpoNPCB7Vmiml
4PgleR09JVnm3zY1fW3XBA,24K Magic,album,2016-11-18,9,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA
58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,album,2012-12-07,10,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI
1PcdW0JIneTUJ2BBXiom64,Doo-Wops & Hooligans,album,2010-05-11,12,https://open.spotify.com/album/1PcdW0JIneTUJ2BBXiom64
6NC5rf0j1JcmXhKNlZqWkr,Dua Lipa - Live From Mexico,album,2026-05-22,42,https://open.spotify.com/album/6NC5rf0j1JcmXhKNlZqWkr
2zSqnTr0gSXrSlPbHzLfJS,Dua Lipa - Live from the Royal Albert Hall,album,2024-12-06,20,https://open.spotify.com/album/2zSqnTr0gSXrSlPbHzLfJS
0XY0qeZ7czMgtb340QJRxK,Radical Optimism (Extended Versions),album,2024-06-28,11,https://open.spotify.com/album/0XY0qeZ7czMgtb340QJRxK
1Mo92916G2mmG7ajpmSVrc,Radical Optimism,album,2024-05-03,11,https://open.spotify.com/album/1Mo92916G2mmG7ajpmSVrc
0E3wRkztEF32ZdYICXBuBf,Future Nostalgia (The Moonlight Edition),album,2021-02-11,19,https://open.spotify.com/album/0E3wRkztEF32ZdYICXBuBf
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,album,2024-05-17,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
0JGOiO34nwfUdDrD612dOp,Happier Than Ever,album,2021-07-30,16,https://open.spotify.com/album/0JGOiO34nwfUdDrD612dOp
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,2019-03-29,14,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh
3ywiWlRdxCDyIt4xwP4yVW,INTRO (HIT ME HARD AND SOFT TOUR),single,2026-04-24,1,https://open.spotify.com/album/3ywiWlRdxCDyIt4xwP4yVW
3ThlxfLSy4bfKzxWqmC7VN,Guess featuring billie eilish,single,2024-08-01,1,https://open.spotify.com/album/3ThlxfLSy4bfKzxWqmC7VN
2ajCD41iDxflpYBZmSO9S7,Play (Deluxe),album,2025-11-28,27,https://open.spotify.com/album/2ajCD41iDxflpYBZmSO9S7
20dY0uZi9SzfrcWYfiWGqH,Play,album,2025-09-12,13,https://open.spotify.com/album/20dY0uZi9SzfrcWYfiWGqH
64QhljQEwTfoEt9z6jsyxl,Play (Extended Edition),album,2025-09-12,18,https://open.spotify.com/album/64QhljQEwTfoEt9z6jsyxl
5ZewPP4nTMtJTn4krePB2d,+-=÷× (Tour Collection: Live),album,2024-12-27,50,https://open.spotify.com/album/5ZewPP4nTMtJTn4krePB2d
5xD1PSd5c5APDM0SdkkqnH,+-=÷× (Tour Collection),album,2024-09-27,24,https://open.spotify.com/album/5xD1PSd5c5APDM0SdkkqnH
3OxfaVgvTxUTy7276t7SPU,Hurry Up Tomorrow,album,2025-01-31,22,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU
35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),album,2023-03-14,21,https://open.spotify.com/album/35dut3ICqF3NEDkjxfzJJ1
1OARrXe5sB0gyy3MhQ8h92,Live At SoFi Stadium,album,2023-03-03,31,https://open.spotify.com/album/1OARrXe5sB0gyy3MhQ8h92
12INlMsFtBjyehNnawBv36,Dawn FM (Alternate World),album,2022-01-07,24,https://open.spotify.com/album/12INlMsFtBjyehNnawBv36
2nLOHgzXzwFEpl62zAgCEC,Dawn FM,album,2022-01-06,16,https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC
5IBigZKJt8uffeMjKw5uEl,Reflections (From The Vault Of Smoke + Mirrors),album,2025-02-21,14,https://open.spotify.com/album/5IBigZKJt8uffeMjKw5uEl
7EPrkhjTBrwAV8yAKCmY0Y,LOOM,album,2024-06-28,10,https://open.spotify.com/album/7EPrkhjTBrwAV8yAKCmY0Y
0fQaGkCbRIg5z7ta2SCrY0,Imagine Dragons Live in Vegas,album,2023-07-28,23,https://open.spotify.com/album/0fQaGkCbRIg5z7ta2SCrY0
0LLA5YL3g2UReWlP7nWqGh,Night Visions (Expanded Edition / Super Deluxe),album,2022-09-09,54,https://open.spotify.com/album/0LLA5YL3g2UReWlP7nWqGh
6yiXkzHvC0OTmhfDQOEWtS,Mercury - Acts 1 & 2,album,2022-07-01,32,https://open.spotify.com/album/6yiXkzHvC0OTmhfDQOEWtS
